z,s_hat,chi
0.08048145,-0.2008159754,2.4188086999
0.08078138,-0.2015413674,2.4182665175
0.08108131,-0.2022665968,2.4177246214
0.08138124,-0.2029916637,2.4171830114
0.08168117,-0.2037165681,2.4166416873
0.08198110,-0.2044413103,2.4161006489
0.08228103,-0.2051658902,2.4155598959
0.08258096,-0.2058903080,2.4150194283
0.08288089,-0.2066145638,2.4144792457
0.08318082,-0.2073386575,2.4139393480
0.08348075,-0.2080625894,2.4133997350
0.08378068,-0.2087863595,2.4128604064
0.08408061,-0.2095099678,2.4123213622
0.08438054,-0.2102334145,2.4117826020
0.08468047,-0.2109566997,2.4112441257
0.08498040,-0.2116798234,2.4107059330
0.08528033,-0.2124027857,2.4101680238
0.08558026,-0.2131255868,2.4096303979
0.08588019,-0.2138482266,2.4090930551
0.08618012,-0.2145707053,2.4085559951
0.08648005,-0.2152930229,2.4080192178
0.08677998,-0.2160151797,2.4074827230
0.08707991,-0.2167371755,2.4069465104
0.08737984,-0.2174590106,2.4064105799
0.08767977,-0.2181806849,2.4058749313
0.08797970,-0.2189021987,2.4053395644
0.08827963,-0.2196235519,2.4048044789
0.08857956,-0.2203447447,2.4042696747
0.08887949,-0.2210657771,2.4037351516
0.08917942,-0.2217866492,2.4032009094
0.08947935,-0.2225073611,2.4026669478
0.08977928,-0.2232279130,2.4021332668
0.09007921,-0.2239483048,2.4015998660
0.09037914,-0.2246685366,2.4010667453
0.09067907,-0.2253886086,2.4005339046
0.09097900,-0.2261085209,2.4000013435
0.09127893,-0.2268282734,2.3994690619
0.09157886,-0.2275478663,2.3989370596
0.09187879,-0.2282672998,2.3984053365
0.09217872,-0.2289865737,2.3978738922
0.09247865,-0.2297056884,2.3973427267
0.09277858,-0.2304246437,2.3968118397
0.09307851,-0.2311434399,2.3962812310
0.09337844,-0.2318620769,2.3957509005
0.09367837,-0.2325805550,2.3952208479
0.09397830,-0.2332988741,2.3946910730
0.09427823,-0.2340170343,2.3941615757
0.09457816,-0.2347350358,2.3936323557
0.09487809,-0.2354528786,2.3931034129
0.09517802,-0.2361705628,2.3925747471
0.09547795,-0.2368880885,2.3920463581
0.09577788,-0.2376054557,2.3915182456
0.09607781,-0.2383226646,2.3909904095
0.09637774,-0.2390397152,2.3904628497
0.09667767,-0.2397566076,2.3899355658
0.09697760,-0.2404733419,2.3894085577
0.09727753,-0.2411899182,2.3888818253
0.09757746,-0.2419063365,2.3883553683
0.09787739,-0.2426225970,2.3878291865
0.09817732,-0.2433386997,2.3873032797
0.09847725,-0.2440546447,2.3867776479
0.09877718,-0.2447704321,2.3862522906
0.09907711,-0.2454860620,2.3857272079
0.09937704,-0.2462015344,2.3852023994
0.09967697,-0.2469168495,2.3846778650
0.09997690,-0.2476320072,2.3841536045
0.10027683,-0.2483470078,2.3836296178
0.10057676,-0.2490618513,2.3831059045
0.10087669,-0.2497765377,2.3825824646
0.10117662,-0.2504910672,2.3820592978
0.10147655,-0.2512054397,2.3815364040
0.10177648,-0.2519196555,2.3810137829
0.10207641,-0.2526337146,2.3804914344
0.10237634,-0.2533476171,2.3799693583
0.10267627,-0.2540613630,2.3794475544
0.10297620,-0.2547749525,2.3789260224
0.10327613,-0.2554883856,2.3784047623
0.10357606,-0.2562016623,2.3778837739
0.10387599,-0.2569147829,2.3773630569
0.10417592,-0.2576277473,2.3768426111
0.10447585,-0.2583405557,2.3763224364
0.10477578,-0.2590532081,2.3758025326
0.10507571,-0.2597657046,2.3752828995
0.10537564,-0.2604780452,2.3747635369
0.10567557,-0.2611902302,2.3742444446
0.10597550,-0.2619022595,2.3737256224
0.10627543,-0.2626141332,2.3732070702
0.10657536,-0.2633258514,2.3726887878
0.10687529,-0.2640374143,2.3721707749
0.10717522,-0.2647488218,2.3716530314
0.10747515,-0.2654600740,2.3711355572
0.10777508,-0.2661711711,2.3706183519
0.10807501,-0.2668821131,2.3701014155
0.10837494,-0.2675929001,2.3695847478
0.10867487,-0.2683035322,2.3690683485
0.10897480,-0.2690140094,2.3685522175
0.10927473,-0.2697243319,2.3680363546
0.10957466,-0.2704344997,2.3675207596
0.10987459,-0.2711445129,2.3670054324
0.11017452,-0.2718543715,2.3664903727
0.11047445,-0.2725640757,2.3659755804
0.11077438,-0.2732736256,2.3654610552
0.11107431,-0.2739830212,2.3649467971
0.11137424,-0.2746922626,2.3644328057
0.11167417,-0.2754013498,2.3639190810
0.11197410,-0.2761102830,2.3634056228
0.11227403,-0.2768190623,2.3628924308
0.11257396,-0.2775276877,2.3623795049
0.11287389,-0.2782361592,2.3618668449
0.11317382,-0.2789444771,2.3613544507
0.11347375,-0.2796526413,2.3608423220
0.11377368,-0.2803606519,2.3603304586
0.11407361,-0.2810685091,2.3598188604
0.11437354,-0.2817762128,2.3593075273
0.11467347,-0.2824837633,2.3587964589
0.11497340,-0.2831911604,2.3582856552
0.11527333,-0.2838984045,2.3577751159
0.11557326,-0.2846054954,2.3572648410
0.11587319,-0.2853124333,2.3567548301
0.11617312,-0.2860192183,2.3562450831
0.11647305,-0.2867258505,2.3557355999
0.11677298,-0.2874323298,2.3552263803
0.11707291,-0.2881386565,2.3547174240
0.11737284,-0.2888448306,2.3542087309
0.11767277,-0.2895508521,2.3537003009
0.11797270,-0.2902567212,2.3531921337
0.11827263,-0.2909624380,2.3526842292
0.11857256,-0.2916680024,2.3521765872
0.11887249,-0.2923734146,2.3516692074
0.11917242,-0.2930786746,2.3511620898
0.11947235,-0.2937837826,2.3506552342
0.11977228,-0.2944887386,2.3501486404
0.12007221,-0.2951935428,2.3496423081
0.12037214,-0.2958981951,2.3491362373
0.12067207,-0.2966026956,2.3486304277
0.12097200,-0.2973070445,2.3481248792
0.12127193,-0.2980112418,2.3476195916
0.12157186,-0.2987152875,2.3471145647
0.12187179,-0.2994191819,2.3466097984
0.12217172,-0.3001229249,2.3461052924
0.12247165,-0.3008265166,2.3456010466
0.12277158,-0.3015299571,2.3450970608
0.12307151,-0.3022332465,2.3445933349
0.12337144,-0.3029363848,2.3440898686
0.12367137,-0.3036393722,2.3435866619
0.12397130,-0.3043422087,2.3430837144
0.12427123,-0.3050448943,2.3425810261
0.12457116,-0.3057474293,2.3420785968
0.12487109,-0.3064498136,2.3415764262
0.12517102,-0.3071520473,2.3410745143
0.12547095,-0.3078541305,2.3405728608
0.12577088,-0.3085560633,2.3400714656
0.12607081,-0.3092578457,2.3395703285
0.12637074,-0.3099594779,2.3390694493
0.12667067,-0.3106609599,2.3385688279
0.12697060,-0.3113622918,2.3380684640
0.12727053,-0.3120634736,2.3375683576
0.12757046,-0.3127645055,2.3370685083
0.12787039,-0.3134653875,2.3365689162
0.12817032,-0.3141661197,2.3360695809
0.12847025,-0.3148667022,2.3355705024
0.12877018,-0.3155671350,2.3350716804
0.12907011,-0.3162674183,2.3345731148
0.12937004,-0.3169675520,2.3340748053
0.12966997,-0.3176675363,2.3335767520
0.12996990,-0.3183673713,2.3330789544
0.13026983,-0.3190670570,2.3325814126
0.13056976,-0.3197665936,2.3320841263
0.13086969,-0.3204659810,2.3315870953
0.13116962,-0.3211652194,2.3310903195
0.13146955,-0.3218643088,2.3305937987
0.13176948,-0.3225632493,2.3300975328
0.13206941,-0.3232620411,2.3296015215
0.13236934,-0.3239606841,2.3291057648
0.13266927,-0.3246591784,2.3286102623
0.13296920,-0.3253575242,2.3281150140
0.13326913,-0.3260557215,2.3276200197
0.13356906,-0.3267537703,2.3271252793
0.13386899,-0.3274516708,2.3266307924
0.13416892,-0.3281494230,2.3261365591
0.13446885,-0.3288470271,2.3256425791
0.13476878,-0.3295444830,2.3251488522
0.13506871,-0.3302417908,2.3246553783
0.13536864,-0.3309389507,2.3241621573
0.13566857,-0.3316359627,2.3236691888
0.13596850,-0.3323328269,2.3231764729
0.13626843,-0.3330295433,2.3226840092
0.13656836,-0.3337261121,2.3221917977
0.13686829,-0.3344225333,2.3216998382
0.13716822,-0.3351188069,2.3212081305
